2022-04-16 09:06:43+00:00,"b'@JiChangminlucu Hi, Kak Put. Mengeai keluhan harga saat ini, Telkomsel saat ini sedang melakukan penyesuaian.  Peny\xe2\x80\xa6 https://t.co/6vGwhY1uzf'"
2022-04-16 09:05:21+00:00,b'RT @bagusaprilyan: @Telkomsel @txtfrombrand Itu meme lama TELEKOMSET! NAEK MULU HARGA VOUCHER LO VGSD !'
2022-04-16 09:03:57+00:00,"b'@jaka_karia Siap, Gyan akan cek DM dari Kakak. tunggu konfirmasi selanjutnya di DM ya Kak. Makasih :) -Gyan'"
2022-04-16 09:03:20+00:00,"b'@hadwisia Siap, Gyan akan cek DM dari Kakak. tunggu konfirmasi selanjutnya di DM ya Kak. Makasih :) -Gyan'"
2022-04-16 09:03:19+00:00,b'@Telkomsel min boleh cek DM'
2022-04-16 09:03:03+00:00,b'RT @Lip6Tekno: Telkomsel Perluas Penerapan Sistem Operasional Robotik Demi Percepat Transformasi Digital https://t.co/EhdaHVZBMv'
2022-04-16 09:02:33+00:00,b'Telkomsel Perluas Penerapan Sistem Operasional Robotik Demi Percepat Transformasi Digital https://t.co/EhdaHVZBMv'
2022-04-16 09:01:49+00:00,"b'@Metil_di_Bromo Hai, Kak. Maaf nih. Mengenai registrasi kartu Prabayar menggunakan dial *444# ya Kak. Semoga membantu. Tks\xf0\x9f\x98\x89-Rey'"
2022-04-16 09:01:33+00:00,"b'RT @eaunoiaa: Makasiii banyak mimin aw terkejudd, makin sayang \xf0\x9f\x98\xad\xf0\x9f\xa4\x8d @Telkomsel\n\nFrom this                   to this https://t.co/1aQUVhzxFe'"
2022-04-16 09:01:22+00:00,b'Mahal jg gpp min\nAk ttp cinta tsel tenang aja\xf0\x9f\x98\xad\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb https://t.co/NOYHgkH4fN'
2022-04-16 09:00:49+00:00,b'WKWKWKWKWKKWKWKWKWKWKW YA ALLAH AYANG https://t.co/TJl4brd8Bd'
2022-04-16 08:59:30+00:00,"b'@silvergoh677 Hai, Kak. Arel jadi merasa bersalah. Yuk ceritain detail pertanyaannya atau keluhan seputar produk da\xe2\x80\xa6 https://t.co/3z8z7VA5i6'"
2022-04-16 08:59:21+00:00,"b'@bypassdulu Siap, Gyan akan cek DM dari Kakak. tunggu konfirmasi selanjutnya di DM ya Kak. Makasih :) -Gyan'"
2022-04-16 08:59:20+00:00,b'@Telkomsel sudah di dm'
2022-04-16 08:58:09+00:00,"b'@bypassdulu Hai, Kak. Pasti jadi bingung ya pulsanya belum masuk. Udah dicek ulang pulsa di *888# &amp; pemotongan sald\xe2\x80\xa6 https://t.co/mz4qr3TSpW'"
2022-04-16 08:58:06+00:00,b'@Telkomsel @txtfrombrand Aku ikutan min ya\nSebab aku dah pake Telkomsel lbh dr 11 thn lhooooo\nMasa Ama pelanggan se\xe2\x80\xa6 https://t.co/DFi5OyfWow'
2022-04-16 08:57:07+00:00,b'@kincijaem_ aq maw ajak rbut telkomsel'
2022-04-16 08:56:12+00:00,"b'@Telkomsel registrasi perdana prabayar lewat sms gagal terkirim melulu, ke *4444# invalid MMI. cara registrasinya g\xe2\x80\xa6 https://t.co/LgXlmspcG2'"
2022-04-16 08:56:04+00:00,"b'@winkiths Hai, Kak Lova. Terkait tarif penawaran paket belajar yang diterima berbeda, Lala infoin hal tersebut dise\xe2\x80\xa6 https://t.co/gX2oU3eQht'"
2022-04-16 08:55:54+00:00,"b'@riska_hamdan Hai, Kak Riska. Maaf sebelumnya, terkait pulsa yg belum diterima, yuk informasikan nomor HP, lokasi (\xe2\x80\xa6 https://t.co/jxgZWOyErx'"
2022-04-16 08:55:35+00:00,b'halo min saya sudah isi pulsa tapi pulsa belum masuk @Telkomsel'
2022-04-16 08:54:29+00:00,b'@kincijaem_ Gua dan telkomsel mendoakan yang terbaik'
2022-04-16 08:53:40+00:00,"b'@Telkomsel udh beli pulsa melalui mbaking bca. 2x, tp pulsanya blm masuk.\nUdh hbgin puhak BCA. Katanya disruh menghubungi terlkomsel.'"
2022-04-16 08:53:18+00:00,b'@pshimjake Paket Internet - Telkomsel Data 500 MB / 1 Hari\nKuota full tanpa pembagian.\nRp 6.500\nTDKM1Paket Internet\xe2\x80\xa6 https://t.co/RrV2smAc7g'
2022-04-16 08:53:09+00:00,"b'@yosashafira Yuk infoin NO HP &amp; lokasi (Kecamatan, Kelurahan &amp; Kota) via DM ya agar Kami bantu cek dan privasi terjaga. Tks\xf0\x9f\x98\x89-Rey (2/2)'"
2022-04-16 08:52:49+00:00,"b'@yosashafira Hai, Kak. Bisa kok, sblmnya sorry pasti gk nyaman. Terkait kendala spam SMS Promosi dr Telkomsel. Untu\xe2\x80\xa6 https://t.co/nCbvwD6U2w'"
2022-04-16 08:51:22+00:00,b'@Telkomsel kenapa paket kuota belajar 6GB 10rb di *363*844# udah ga ada di aku\xf0\x9f\x98\x9e?? adanya malah ini :( https://t.co/wSFRW6tPq6'
2022-04-16 08:51:09+00:00,b'@pshimjake ready kuota paket data tsel telkomsel flash internet combo sakti murah fast proses diskon up to 13% unde\xe2\x80\xa6 https://t.co/YXCdU3rJ74'
2022-04-16 08:51:02+00:00,"b'@zdjarum \xef\xb8\x8f\xef\xb8\x8fyuk cv pulsa di aku kak! \xf0\x9f\x92\x81\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f \n\xef\xb8\x8f\xef\xb8\x8f- indosat isat (rate 0,82-0,83)\n- smartfren sf\n- telkomsel tsel\n\nfast\xe2\x80\xa6 https://t.co/ZpdwMoLKz9'"
2022-04-16 08:49:28+00:00,b'Dear @Telkomsel bisa tolong berenti kirimin sms tawaran NSP sehari bisa beberapa kali loooh :((( semenjak downgrade\xe2\x80\xa6 https://t.co/nEirdYgFoN'
2022-04-16 08:49:20+00:00,"b'@tikitakacityx halo, sama nih aku juga belum masuk pulsanya sampe hari ini. udah dm telkomsel juga tp jawabannya di\xe2\x80\xa6 https://t.co/dwpxZdf7gU'"
2022-04-16 08:48:38+00:00,"b'@Eziosauditore Baik, Kak Ezio. Terkait informasi upgrade kartu 4G, sekarang bisa online ya Kak melalui app MyTelkom\xe2\x80\xa6 https://t.co/BFmRPbEf27'"
2022-04-16 08:48:24+00:00,"b'@arcanotation \xef\xb8\x8f\xef\xb8\x8f \xef\xb8\x8f\xef\xb8\x8f \n\xef\xb8\x8f\n\xef\xb8\x8f\nYng bagus di sini biasanya Telkomsel, sih,\ntapi itu mah provider khusus orang kaya.\n\xef\xb8\x8f\n\xef\xb8\x8f\n\xef\xb8\x8f\xef\xb8\x8f \xef\xb8\x8f\xef\xb8\x8f'"
2022-04-16 08:48:16+00:00,"b'@ibaadee Siap, Gyan akan cek DM dari Kakak. tunggu konfirmasi selanjutnya di DM ya Kak. Makasih :) -Gyan'"
2022-04-16 08:48:15+00:00,b'@Telkomsel Sudah di DM ya'
2022-04-16 08:48:13+00:00,b'RT @GamesMenfess: Gimana gamers? DGWIB Community Cup antar #KomunitasPalingGG seru banget kan? Tenang aja keseruan mereka gak cuma sampai d\xe2\x80\xa6'
2022-04-16 08:45:49+00:00,b'@smokeeroom sini aku jual nih kuota tsel telkomsel harga under aplikasi lebih murah yuk dm aja cek nomor dulu ya fa\xe2\x80\xa6 https://t.co/CgjboDqDoo'
2022-04-16 08:44:24+00:00,b'telkomsel kok suka kali sih nyedot pulsa org'
2022-04-16 08:44:17+00:00,b'@Newbie774098765 @winatuljancok @Telkomsel @indosatim3 @triindonesia Saya pakai @triindonesia dan @liveondatapower\xe2\x80\xa6 https://t.co/7c85rO2OiD'
2022-04-16 08:43:53+00:00,"b'@Ambros32 Halo, Kak Ambros. Maaf ya jadi nggak nyaman. Keluhan mengenai pulsa belum masuk, yuk infoin no. HP, tgl d\xe2\x80\xa6 https://t.co/KxSh6Gf1nL'"
2022-04-16 08:43:02+00:00,"b'@corneliusvito Baik, Kak Cornelius. Maaf ya Kak atas keterlambatan responnya. DM Kakak pasti Sasa bales kok, Sasa l\xe2\x80\xa6 https://t.co/mSU6Fd3qd6'"
2022-04-16 08:42:53+00:00,"b'@ibaadee Hai, Kak Ibad. Maaf ya. Terkait keluhan tida bisa akses internet, yuk infoin Nomor HP, waktu kejadian, lok\xe2\x80\xa6 https://t.co/QkvVWvlTkh'"
2022-04-16 08:42:02+00:00,b'@Telkomsel @txtfrombrand Min gamau kasi nomor gw promo gtu\xf0\x9f\x98\xa9? Kan sya udah langganan ama produk mimin udh lama'
2022-04-16 08:41:46+00:00,"b'Telkomsel knape si bapuk bet, pdhl baru beli paket'"
2022-04-16 08:41:40+00:00,b'@Telkomsel untuk upgrade kartu 4g only tanpa dari cs twitter bisa ngak min'
2022-04-16 08:41:25+00:00,b'@Telkomsel kalo mau stop kartu halo pascabayar gimana? plis jangan bilang harus ke grapari juga karena harus naik pesawat buat kesana\xf0\x9f\x99\x82\xf0\x9f\x99\x82'
2022-04-16 08:41:21+00:00,b'@Telkomsel Uda daritadi dibales lamban'
2022-04-16 08:41:05+00:00,"b'@RenkaStres Maaf ya, Kak Rendra. Terkait keluhan Kakak, jika Kakak masih berkendala. Silahkan interaksinya dilanjut\xe2\x80\xa6 https://t.co/Fmrv0bwcVS'"
2022-04-16 08:40:59+00:00,b'Telkomsel my ads keren juga. Lebih praktis untuk anak digital.'
2022-04-16 08:40:54+00:00,"b'@corneliusvito Hai, Kak. Maaf ya Kak, namun untuk proses lebih lanjut. Kami perlu verifikasi yg sesuai ya Kak. Kaka\xe2\x80\xa6 https://t.co/80T2ip1ety'"
2022-04-16 08:40:51+00:00,b'Sore min.. @Telkomsel saya beli pulsa simpati via @tokopedia kenapa tidak masuk ya??'
2022-04-16 08:40:44+00:00,b'Adakah pengguna @Telkomsel yang gabisa akses internet padahal ada paket/sudah bayar tagihan? Untung ada cadangan @smartfrenworld'
2022-04-16 08:40:11+00:00,"b'@putringtyas Baik, Kak Putri. Sasa meluncur ke DM ya. Mohon menunggu, Sasa lagi mastiin agar ga ada DM yang terlewatkan Kak. Tks\xf0\x9f\x98\x8a-Sasa'"
2022-04-16 08:40:07+00:00,"b'Open Convert!\n\nRate Pulsa 16 April :\nTelkomsel \xe2\x9e\xa1\xef\xb8\x8f 0,78\nTri \xe2\x9e\xa1\xef\xb8\x8f 0,84-85\nIndosat \xe2\x9e\xa1\xef\xb8\x8f 0,81-83\nXL Axis \xe2\x9e\xa1\xef\xb8\x8f 0,76-77\n\nConver\xe2\x80\xa6 https://t.co/JXPaPm5FOX'"
2022-04-16 08:39:56+00:00,"b'@aehee_choi Siap, Gyan akan cek DM dari Kakak. tunggu konfirmasi selanjutnya di DM ya Kak. Makasih :) -Gyan'"
2022-04-16 08:39:55+00:00,b'@Telkomsel cek dm min'
2022-04-16 08:39:34+00:00,"b'@eaunoiaa @Telkomsel Mau pamer ehehehe\n\nKalo buat aku sih sebulan cukup, soanya di rumah sama di kanto pake WiFi. https://t.co/nEBzhbrrBT'"
2022-04-16 08:39:14+00:00,"b'@corneliusvito Halo, Kak Cornel. Maaf ya Kak. Ada yang bisa Ara bantu? Kalau ada pertanyaan yuk infoin secara detai\xe2\x80\xa6 https://t.co/fgDd5XOTza'"
2022-04-16 08:39:10+00:00,"b'@Telkomsel Pertama nanya 4 pertanyaan, uda dijawab.\nAbis itu masi minta nama dan tanggal lahir.\nUdah dikirim terus\xe2\x80\xa6 https://t.co/73XML6Rm7v'"
2022-04-16 08:39:10+00:00,b'Telkomsel Kenapa Ye Ngeselin'
2022-04-16 08:39:05+00:00,"b'@Telkomsel Bisa direspon cepat ngga ya, urgent'"
2022-04-16 08:38:36+00:00,"b'Udah bro, lau cek dong!\n\nMantap banget nih, lagi protes tapi blum diproses2, malah ada lagi promo yang bikin makin\xe2\x80\xa6 https://t.co/blKRbMOZ1N'"
2022-04-16 08:38:19+00:00,"b'@aehee_choi Hai Kak, mohon maaf ya. Terkait hal tersebut, yuk infoin nomor HP, detail lokasi dan waktu kejadiannya\xe2\x80\xa6 https://t.co/SvUPju0xM5'"
2022-04-16 08:38:16+00:00,"b'tolong dong @Telkomsel sinyal nya, udah paketan mahal tapi sinyal ilang-ilangan mulu!'"
2022-04-16 08:38:05+00:00,"b'@hellokayna Arel saranin untuk melakukan upgrade 4G ke GraPARI terdekat, untuk syarat ketentuan yuk sapa Kami via D\xe2\x80\xa6 https://t.co/6LwxQwzczx'"
2022-04-16 08:37:49+00:00,"b'@hellokayna Hai, Kak. Maaf ya. Mengenai kendala upgrade 4G kartuHalo, Arel infoin bisa dilakukan melalui\xe2\x80\xa6 https://t.co/5V91HjDVLw'"
2022-04-16 08:37:39+00:00,"b'@RenkaStres Hai, Kak Rendra. Maaf ya Kak, namun untuk proses lebih lanjut. Kami perlu verifikasi yg sesuai ya Kak.\xe2\x80\xa6 https://t.co/akjsVjK26b'"
2022-04-16 08:37:26+00:00,b'@Telkomsel Tai bgt emang @Telkomsel hak kita lah ga mau dikasih promo. Req datanya beda2 harus bales 3x. Mempersulit aja lo berak'
2022-04-16 08:36:46+00:00,"b'@Eziosauditore Hi, Kak Ezio. Menegenai nomor tersebut benar dr telemarketing Telkomsel ya Kak. Apabila ada kendala\xe2\x80\xa6 https://t.co/un8PqHZtQn'"
2022-04-16 08:36:03+00:00,"b'@Telkomsel @txtfrombrand mau dong pulsanyaa hihihi #SeruMAX. sekeluarga make tsel semua nih, bahkan no papa dari ja\xe2\x80\xa6 https://t.co/Zg45arDyAP'"
2022-04-16 08:35:19+00:00,"b'@Telkomsel @txtfrombrand stuju min telkomsel tidak semahal itu padahal, internetnya asik asik juga yekan, ktik 1 klo mimin stuju.'"
2022-04-16 08:34:51+00:00,b'Telkomsel gangguan apa gimana deh?! Gue 2 kali isi pulsa gak ada yg masuk masa :('
2022-04-16 08:34:43+00:00,"b'@putringtyas Hai, Kak Putri. Maaf banget ya, terkait akses internet lambat. Boleh infoin Nomor HP, Tanggal kejadian\xe2\x80\xa6 https://t.co/zQlwCAR4op'"
2022-04-16 08:34:40+00:00,b'@joaquinlybee @lolsqyy @babyburnl @pascaljati @Esteh_angat @kangrioo @Azka2022 @kabulmuhjib @Telkomsel @txtfrombrand Jok motor'
2022-04-16 08:34:39+00:00,"b'@Eziosauditore Halo, Kak Ezio. Ada yang bisa Ara bantu? Kalau ada pertanyaan yuk infoin secara detail via DM agar p\xe2\x80\xa6 https://t.co/EiIuPXTtWt'"
2022-04-16 08:33:51+00:00,b'Pelayanan CS Telkomsel di Twitter selalu merepotkan \xf0\x9f\x99\x82\n\nBagaimana mungkin nama &amp; tanggal lahir yang dikirim tidak se\xe2\x80\xa6 https://t.co/pO3NgfL7iH'
2022-04-16 08:33:31+00:00,b'@Telkomsel @txtfrombrand Pertama kali beli langsung cocok. Tetap bertahan sampe detik ini biarpun ngga dikasih disk\xe2\x80\xa6 https://t.co/7pZRG2Ebcq'
2022-04-16 08:33:05+00:00,b'Halo admin kenapa data bermasalah terus ya @Telkomsel'
2022-04-16 08:32:38+00:00,"b'@magirljisun_ @yoyutas @Telkomsel @txtfrombrand Kenapa bisa beda""'"
2022-04-16 08:32:12+00:00,b'@Telkomsel @alexdra120 apakah ini benar nomor cs telkomsel min?'
2022-04-16 08:31:55+00:00,"b'@thousan_adhie Siap, Gyan akan cek DM dari Kakak. tunggu konfirmasi selanjutnya di DM ya Kak. Makasih :) -Gyan'"
2022-04-16 08:31:54+00:00,b'@Telkomsel Cek DM dong'
2022-04-16 08:31:47+00:00,b'cara aktifasi(khusus TELKOMSEL)\n\nketik MRLBO kirim ke 1212\n\nJudul :Jomblo Sejati\nArtist :Material\n3.000 / 7 hari #NadaSambung'
2022-04-16 08:31:42+00:00,"b'Ditelpon orang katanya dari telkomsel mau ngasih cashback 1,2jt dari tukar poin. Tak sindir tulisan ""kesbek"" kok td\xe2\x80\xa6 https://t.co/q9Ff40hOKh'"
2022-04-16 08:31:03+00:00,"b'@thousan_adhie Hai Kak, mohon maaf ya. Terkait hal tersebut, yuk infoin nomor HP, detail lokasi dan waktu kejadiann\xe2\x80\xa6 https://t.co/Skaa71pJJd'"
2022-04-16 08:31:02+00:00,b'@Telkomsel Percuma promo tapi sinyalnya ngadat kalau hujan pffffft'
2022-04-16 08:30:25+00:00,"b'@tolongdibukain dari Telkomsel. Yuk infoin NO HP &amp; lokasi (Kecamatan, Kelurahan &amp; Kota) via DM ya agar Kami bantu c\xe2\x80\xa6 https://t.co/xDMZhMvkGy'"
2022-04-16 08:30:11+00:00,"b'@tolongdibukain Hai, Kak. Sorry pasti gk nyaman. Terkait kendala spam SMS Promosi dr Telkomsel. Untuk melakukan pem\xe2\x80\xa6 https://t.co/HD4rf5mUZA'"
2022-04-16 08:30:00+00:00,"b'THR belum mendarat, tapi pulsa kepalang sekarat?\nTenang, kan Telkomsel Prabayar punya Paket Darurat!\n\nDapetin kuota\xe2\x80\xa6 https://t.co/9w8eIjGqJq'"
2022-04-16 08:29:12+00:00,"b'Telkomsel napa jelek banget dah, mati lampu sinyalnya ikutan ilang'"
2022-04-16 08:28:03+00:00,"b'@adriolino Siap, Gyan akan cek DM dari Kakak. tunggu konfirmasi selanjutnya di DM ya Kak. Makasih :) -Gyan'"
2022-04-16 08:28:02+00:00,"b'@Telkomsel Halo, sudah di cek ulang dan buktinya sudah saya kirim di dm ya. Terima kasih \xf0\x9f\x99\x8f'"
2022-04-16 08:27:02+00:00,"b'@Telkomsel @Telkomsel ini gimana? saya mau cek sendiri di *888*46# juga ga bisa, ga berlaku untuk kartu halo katany\xe2\x80\xa6 https://t.co/sojgf3fhae'"
2022-04-16 08:26:48+00:00,"b'@rlqodri Siap, Gyan akan cek DM dari Kakak. tunggu konfirmasi selanjutnya di DM ya Kak. Makasih :) -Gyan'"
2022-04-16 08:26:47+00:00,b'@Telkomsel cek DM kk'
2022-04-16 08:26:14+00:00,b'@Telkomsel @txtfrombrand Kurang setia apalagi sekeluarga jg pake tsel. Ada kali ni nomor 10 tahun \xf0\x9f\x98\xad Nomor satunya j\xe2\x80\xa6 https://t.co/RWTF0GiPNn'
2022-04-16 08:25:48+00:00,b'@bagusaprilyan @Telkomsel @txtfrombrand Wkwk benerr\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
2022-04-16 08:25:44+00:00,b'Santai aja dong min @Telkomsel promonya. Masa dalam dua hari ini promo mulu sampai pake empat nomor berbeda utk bro\xe2\x80\xa6 https://t.co/vJ5vktFrwi'
2022-04-16 08:25:33+00:00,"b'@mahawireng \xef\xb8\x8f\xef\xb8\x8fyuk cv pulsa di aku kak! \xf0\x9f\x92\x81\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f \n\xef\xb8\x8f\xef\xb8\x8f- indosat isat (rate 0,82-0,83)\n- smartfren sf\n- telkomsel tsel\n\nfa\xe2\x80\xa6 https://t.co/J4mCxR1v17'"
2022-04-16 08:24:20+00:00,b'@rewellls awkmu tuku paketan Telkomsel biasae wes oleh disney+'
